no_of_blocks,plan_found,plan_length,nodes_expanded,time_taken
10,1.0,24.766666666666666,73.81666666666666,2.277
11,1.0,28.12,63.44,2.2852
12,1.0,31.6,65.3,2.4903999999999997
13,1.0,33.48,202.1,4.5472
14,1.0,37.42857142857143,107.93877551020408,3.466938775510204
15,1.0,40.041666666666664,73.72916666666667,2.95125
3,1.0,4.666666666666667,4.666666666666667,1.162
4,1.0,7.3,7.3,1.2228333333333334
5,1.0,9.066666666666666,9.083333333333334,1.2336666666666667
50,1.0,162.55172413793105,238.89655172413794,49.11586206896551
6,1.0,12.6,13.133333333333333,1.3016666666666665
7,1.0,15.433333333333334,16.9,1.3844999999999998
8,1.0,17.5,20.983333333333334,1.463
9,1.0,20.633333333333333,22.25,1.532
